                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1378,                 7.9426,                 1.9701,                0.47253,                0.25595,                0.30498,                0.25429,                 1.8181,                 4.4503,                 1.8873,             0.00023342,             0.00023342,             0.00023342
                      2,                  1.295,                 2.6304,                 2.0107,                0.32666,                0.14791,                0.21408,                0.15331,                 2.7113,                 16.652,                 3.0603,             0.00046956,             0.00046956,             0.00046956
                      3,                 1.3448,                 1.9789,                 1.9992,                0.45385,                0.34704,                0.42058,                 0.3005,                 2.3491,                 10.491,                 2.2066,              0.0007038,              0.0007038,              0.0007038
                      4,                 1.4235,                 1.8341,                 2.0541,                0.30884,                0.24394,                0.25828,                0.19189,                 2.5816,                 11.256,                 2.3514,             0.00070552,             0.00070552,             0.00070552
                      5,                 1.3472,                 1.5969,                 2.0316,                0.40609,                0.28289,                0.31522,                0.24066,                 2.4682,                 6.6125,                 2.3438,             0.00070269,             0.00070269,             0.00070269
                      6,                  1.334,                  1.562,                  2.042,                0.65538,                0.52815,                 0.5639,                0.42966,                 2.1183,                 4.8247,                 1.9902,             0.00069986,             0.00069986,             0.00069986
                      7,                 1.2991,                 1.4138,                 1.9937,                0.59573,                0.46077,                0.56085,                0.41819,                 2.3177,                 2.8832,                 2.0224,             0.00069704,             0.00069704,             0.00069704
                      8,                 1.2004,                 1.2148,                 1.9619,                0.57176,                0.60342,                0.61313,                0.48353,                 2.0174,                 2.6267,                 1.9388,             0.00069421,             0.00069421,             0.00069421
                      9,                 1.2143,                 1.2128,                 1.9586,                0.62739,                0.61378,                0.65894,                  0.508,                 2.3125,                 2.7165,                 2.0011,             0.00069138,             0.00069138,             0.00069138
                     10,                 1.1902,                 1.1949,                 1.9645,                0.55507,                0.63826,                0.64066,                0.49324,                  2.093,                 2.9027,                 1.9394,             0.00068855,             0.00068855,             0.00068855
                     11,                 1.1655,                  1.134,                 1.9531,                0.61475,                0.63087,                0.66544,                0.53107,                 2.1094,                 2.7328,                 1.9432,             0.00068573,             0.00068573,             0.00068573
